date,rainfall_morning,rainfall_afternoon,rainfall_night,min_temperature,max_temperature,wind_force
2012-1-1,1,1.5,2,1,8,3.0
2012-1-2,1,1,1,10,10,3.0
2012-1-3,3,3,3,0,7,3.0
2012-1-4,1,1,1,-1,4,3.0
2012-1-5,3,3.5,4,0,5,3.0
2012-1-6,4,4,4,2,5,3.0
2012-1-7,3,3,3,4,6,3.0
2012-1-8,4,4,4,4,7,3.0
2012-1-9,4,4,4,3,7,3.0
2012-1-10,4,4,4,2,6,3.0
2012-1-11,4,3.5,3,3,7,3.0
2012-1-14,5,5,5,4,8,3.0
2012-1-15,6,5.0,4,3,7,3.0
2012-1-16,4,3.5,3,4,6,3.0
2012-1-17,3,3,3,4,8,3.0
2012-1-18,6,6.5,7,5,7,3.0
2012-1-19,7,7,7,4,7,3.0
2012-1-20,3,3.5,4,1,7,3.33333333333
2012-1-21,8,8.5,9,-1,5,3.5
2012-1-22,9,9.5,10,-2,2,3.0
2012-1-23,3,6.5,10,-2,3,3.0
2012-1-24,10,6.5,3,-2,2,3.0
2012-1-25,1,1,1,-3,3,3.0
2012-1-26,1,1,1,-2,4,3.0
2012-1-27,1,1,1,6,6,3.0
2012-1-28,4,4,4,4,4,3.0
2012-1-29,4,3.5,3,2,6,3.0
2012-1-30,3,2.0,1,0,4,3.0
2012-1-31,2,1.5,1,1,5,3.0
2012-2-1,3,3,3,1,7,3.5
2012-2-2,1,1,1,1,5,3.0
2012-2-3,1,1,1,3,6,3.0
2012-2-4,1,2.5,4,3,7,3.0
2012-2-5,3,3.5,4,2,8,3.0
2012-2-6,7,5.5,4,0,6,3.5
2012-2-7,1,1,1,-1,4,3.0
2012-2-8,2,2,2,-2,-2,3.0
2012-2-9,1,2.5,4,1,7,3.0
2012-2-10,4,4,4,2,4,3.0
2012-2-11,3,3.5,4,4,6,3.0
2012-2-12,4,4,4,4,4,3.0
2012-2-13,4,4,4,5,10,3.0
2012-2-14,7,7,7,4,8,3.0
2012-2-15,4,4,4,2,6,3.5
2012-2-16,3,2.0,1,0,5,3.33333333333
2012-2-17,1,1,1,-1,5,3.0
2012-2-18,3,2.0,1,0,6,3.0
2012-2-19,1,1,1,7,7,3.0
2012-2-20,4,4,4,5,5,3.0
2012-2-21,7,7,7,7,7,3.0
2012-2-22,11,9.0,7,8,13,3.0
2012-2-23,4,4,4,6,11,3.0
2012-2-24,3,3,3,3,7,3.0
2012-2-25,3,3.5,4,2,6,3.0
2012-2-26,3,3.5,4,1,5,3.0
2012-2-27,4,4,4,2,6,3.0
2012-2-28,4,3.5,3,3,6,3.5
2012-2-29,4,4,4,5,5,3.0
2012-3-1,7,7,7,6,9,3.0
2012-3-2,11,9.0,7,4,8,3.0
2012-3-3,7,7,7,6,8,3.0
2012-3-4,12,12,12,6,9,3.0
2012-3-5,7,5.5,4,5,9,3.0
2012-3-6,3,3.5,4,5,12,3.0
2012-3-7,7,7,7,4,7,3.0
2012-3-8,11,9.0,7,3,6,3.0
2012-3-9,7,5.5,4,2,5,3.0
2012-3-10,3,2.0,1,3,9,3.0
2012-3-11,1,1,1,4,10,3.0
2012-3-12,2,1.5,1,4,12,3.5
2012-3-13,1,1,1,8,13,3.0
2012-3-14,1,7.0,13,7,16,3.0
2012-3-15,13,13,13,8,16,3.0
2012-3-16,13,8.5,4,10,18,3.0
2012-3-17,7,10.0,13,8,16,3.0
2012-3-18,3,8.0,13,7,14,3.0
2012-3-19,7,5.5,4,10,14,3.0
2012-3-20,4,3.5,3,6,10,3.0
2012-3-21,1,1,1,9,16,3.0
2012-3-22,13,12.0,11,8,22,3.0
2012-3-23,7,5.0,3,4,12,4.5
2012-3-24,1,1.5,2,5,13,3.0
2012-3-25,2,1.5,1,6,16,3.0
2012-3-26,2,2,2,11,24,3.0
2012-3-27,2,2,2,13,23,3.0
